,rounded_lon,rounded_lat,borough,nbhd
0,-74.251,40.513,Staten Island,Tottenville
1,-74.248,40.515,Staten Island,Tottenville
2,-74.231,40.528,Staten Island,Charleston
3,-74.229,40.547,Staten Island,Charleston
4,-74.223,40.522,Staten Island,Prince's Bay
5,-74.212,40.546,Staten Island,Rossville
6,-74.211,40.519,Staten Island,Prince's Bay
7,-74.211,40.528,Staten Island,Prince's Bay
8,-74.211,40.552,Staten Island,Rossville
9,-74.207,40.524,Staten Island,Prince's Bay
10,-74.206,40.534,Staten Island,Woodrow
11,-74.203,40.527,Staten Island,Prince's Bay
12,-74.203,40.552,Staten Island,Rossville
13,-74.202,40.531,Staten Island,Prince's Bay
14,-74.202,40.538,Staten Island,Woodrow
15,-74.196,40.554,Staten Island,Rossville
16,-74.194,40.546,Staten Island,Rossville
17,-74.192,40.535,Staten Island,Woodrow
18,-74.191,40.586,Staten Island,Freshkills Park
19,-74.191,40.587,Staten Island,"Chelsea, Staten Island"
20,-74.186,40.545,Staten Island,Woodrow
21,-74.184,40.611,Staten Island,Bloomfield
22,-74.183,40.542,Staten Island,Woodrow
23,-74.183,40.557,Staten Island,Arden Heights
24,-74.18,40.563,Staten Island,Arden Heights
25,-74.18,40.628,Staten Island,Howland Hook
26,-74.179,40.54,Staten Island,Woodrow
27,-74.179,40.613,Staten Island,Bull's Head
28,-74.178,40.615,Staten Island,Bull's Head
29,-74.177,40.612,Staten Island,Bull's Head
30,-74.177,40.615,Staten Island,Bull's Head
31,-74.176,40.612,Staten Island,Bull's Head
32,-74.175,40.626,Staten Island,Howland Hook
33,-74.173,40.616,Staten Island,Bull's Head
34,-74.171,40.638,Staten Island,Mariners Harbor
35,-74.171,40.64,Staten Island,Mariners Harbor
36,-74.17,40.602,Staten Island,Freshkills Park
37,-74.17,40.64,Staten Island,Mariners Harbor
38,-74.169,40.559,Staten Island,Great Kills
39,-74.169,40.582,Staten Island,New Springville
40,-74.169,40.621,Staten Island,Bull's Head
41,-74.169,40.635,Staten Island,Mariners Harbor
42,-74.169,40.636,Staten Island,Mariners Harbor
43,-74.168,40.586,Staten Island,New Springville
44,-74.168,40.587,Staten Island,New Springville
45,-74.168,40.606,Staten Island,Bull's Head
46,-74.168,40.621,Staten Island,Bull's Head
47,-74.168,40.622,Staten Island,Graniteville
48,-74.168,40.636,Staten Island,Mariners Harbor
49,-74.168,40.637,Staten Island,Mariners Harbor
50,-74.167,40.58,Staten Island,New Springville
51,-74.167,40.582,Staten Island,New Springville
52,-74.167,40.585,Staten Island,New Springville
53,-74.167,40.586,Staten Island,New Springville
54,-74.167,40.588,Staten Island,New Springville
55,-74.167,40.623,Staten Island,Graniteville
56,-74.167,40.624,Staten Island,Graniteville
57,-74.167,40.628,Staten Island,Howland Hook
58,-74.167,40.636,Staten Island,Mariners Harbor
59,-74.167,40.637,Staten Island,Mariners Harbor
60,-74.167,40.64,Staten Island,Mariners Harbor
61,-74.166,40.583,Staten Island,New Springville
62,-74.166,40.584,Staten Island,New Springville
63,-74.166,40.588,Staten Island,New Springville
64,-74.166,40.607,Staten Island,Bull's Head
65,-74.166,40.62,Staten Island,Bull's Head
66,-74.166,40.629,Staten Island,Mariners Harbor
67,-74.166,40.639,Staten Island,Mariners Harbor
68,-74.165,40.528,Staten Island,Huguenot
69,-74.165,40.61,Staten Island,Bull's Head
70,-74.165,40.611,Staten Island,Bull's Head
71,-74.165,40.618,Staten Island,Bull's Head
72,-74.165,40.619,Staten Island,Bull's Head
73,-74.165,40.625,Staten Island,Graniteville
74,-74.165,40.626,Staten Island,Graniteville
75,-74.165,40.636,Staten Island,Mariners Harbor
76,-74.164,40.588,Staten Island,New Springville
77,-74.164,40.592,Staten Island,New Springville
78,-74.164,40.623,Staten Island,Graniteville
79,-74.164,40.63,Staten Island,Mariners Harbor
80,-74.163,40.591,Staten Island,New Springville
81,-74.163,40.607,Staten Island,Bull's Head
82,-74.163,40.629,Staten Island,Mariners Harbor
83,-74.162,40.63,Staten Island,Mariners Harbor
84,-74.162,40.632,Staten Island,Mariners Harbor
85,-74.162,40.638,Staten Island,Mariners Harbor
86,-74.161,40.636,Staten Island,Mariners Harbor
87,-74.161,40.637,Staten Island,Mariners Harbor
88,-74.16,40.593,Staten Island,New Springville
89,-74.16,40.611,Staten Island,Bull's Head
90,-74.16,40.615,Staten Island,Bull's Head
91,-74.16,40.626,Staten Island,Graniteville
92,-74.16,40.637,Staten Island,Mariners Harbor
93,-74.159,40.532,Staten Island,Huguenot
94,-74.159,40.584,Staten Island,New Springville
95,-74.159,40.59,Staten Island,New Springville
96,-74.159,40.615,Staten Island,Bull's Head
97,-74.159,40.626,Staten Island,Graniteville
98,-74.159,40.627,Staten Island,Mariners Harbor
99,-74.159,40.629,Staten Island,Mariners Harbor
100,-74.158,40.58,Staten Island,New Springville
101,-74.158,40.612,Staten Island,Bull's Head
102,-74.158,40.62,Staten Island,Graniteville
103,-74.158,40.632,Staten Island,Mariners Harbor
104,-74.158,40.633,Staten Island,Mariners Harbor
105,-74.157,40.581,Staten Island,New Springville
106,-74.157,40.591,Staten Island,New Springville
107,-74.157,40.609,Staten Island,Bull's Head
108,-74.156,40.59,Staten Island,New Springville
109,-74.156,40.616,Staten Island,Graniteville
110,-74.156,40.625,Staten Island,Graniteville
111,-74.155,40.564,Staten Island,Great Kills
112,-74.155,40.626,Staten Island,Mariners Harbor
113,-74.155,40.631,Staten Island,Mariners Harbor
114,-74.154,40.564,Staten Island,Great Kills
115,-74.154,40.589,Staten Island,New Springville
116,-74.153,40.535,Staten Island,Eltingville
117,-74.152,40.625,Staten Island,Graniteville
118,-74.151,40.599,Staten Island,Bull's Head
119,-74.151,40.601,Staten Island,Bull's Head
120,-74.151,40.625,Staten Island,Graniteville
121,-74.149,40.605,Staten Island,Bull's Head
122,-74.149,40.61,Staten Island,Graniteville
123,-74.149,40.621,Staten Island,Graniteville
124,-74.149,40.637,Staten Island,Mariners Harbor
125,-74.148,40.625,Staten Island,Graniteville
126,-74.147,40.607,Staten Island,Emerson Hill
127,-74.147,40.626,Staten Island,Mariners Harbor
128,-74.146,40.538,Staten Island,Eltingville
129,-74.146,40.59,Staten Island,New Springville
130,-74.146,40.614,Staten Island,Graniteville
131,-74.146,40.626,Staten Island,Mariners Harbor
132,-74.146,40.63,Staten Island,Mariners Harbor
133,-74.146,40.633,Staten Island,Mariners Harbor
134,-74.146,40.635,Staten Island,Mariners Harbor
135,-74.145,40.57,Staten Island,Lighthouse Hill
136,-74.144,40.551,Staten Island,"Bay Terrace, Staten Island"
137,-74.144,40.623,Staten Island,Westerleigh
138,-74.144,40.625,Staten Island,Port Richmond
139,-74.144,40.626,Staten Island,Port Richmond
140,-74.143,40.569,Staten Island,Lighthouse Hill
141,-74.143,40.574,Staten Island,Lighthouse Hill
142,-74.142,40.597,Staten Island,Willowbrook
143,-74.141,40.598,Staten Island,Willowbrook
144,-74.141,40.608,Staten Island,Castleton Corners
145,-74.14,40.601,Staten Island,Willowbrook
146,-74.138,40.61,Staten Island,Castleton Corners
147,-74.138,40.626,Staten Island,Port Richmond
148,-74.137,40.571,Staten Island,Richmondtown
149,-74.137,40.633,Staten Island,Port Richmond
150,-74.137,40.636,Staten Island,Port Richmond
151,-74.137,40.637,Staten Island,Port Richmond
152,-74.136,40.625,Staten Island,Westerleigh
153,-74.135,40.627,Staten Island,Port Richmond
154,-74.135,40.63,Staten Island,Port Richmond
155,-74.135,40.635,Staten Island,Port Richmond
156,-74.135,40.637,Staten Island,Port Richmond
157,-74.134,40.56,Staten Island,"Bay Terrace, Staten Island"
158,-74.133,40.625,Staten Island,Westerleigh
159,-74.131,40.599,Staten Island,Willowbrook
160,-74.13,40.592,Staten Island,Latourette Park
161,-74.13,40.632,Staten Island,Randall Manor
162,-74.13,40.64,Staten Island,Randall Manor
163,-74.129,40.631,Staten Island,Randall Manor
164,-74.129,40.639,Staten Island,Randall Manor
165,-74.128,40.612,Staten Island,Castleton Corners
166,-74.128,40.627,Staten Island,Randall Manor
167,-74.128,40.629,Staten Island,Randall Manor
168,-74.128,40.631,Staten Island,Randall Manor
169,-74.127,40.577,Staten Island,Latourette Park
170,-74.127,40.637,Staten Island,Randall Manor
171,-74.126,40.558,Staten Island,Oakwood
172,-74.126,40.58,Staten Island,Latourette Park
173,-74.126,40.621,Staten Island,Castleton Corners
174,-74.126,40.622,Staten Island,Castleton Corners
175,-74.126,40.628,Staten Island,Randall Manor
176,-74.126,40.63,Staten Island,Randall Manor
177,-74.126,40.637,Staten Island,Randall Manor
178,-74.125,40.598,Staten Island,Latourette Park
179,-74.125,40.632,Staten Island,West Brighton
180,-74.124,40.569,Staten Island,New Dorp
181,-74.124,40.632,Staten Island,West Brighton
182,-74.123,40.562,Staten Island,Oakwood
183,-74.123,40.598,Staten Island,Latourette Park
184,-74.123,40.629,Staten Island,West Brighton
185,-74.122,40.563,Staten Island,Oakwood
186,-74.122,40.603,Staten Island,Emerson Hill
187,-74.121,40.561,Staten Island,Oakwood
188,-74.121,40.61,Staten Island,Emerson Hill
189,-74.12,40.578,Staten Island,New Dorp
190,-74.12,40.606,Staten Island,Emerson Hill
191,-74.12,40.615,Staten Island,Castleton Corners
192,-74.12,40.629,Staten Island,West Brighton
193,-74.12,40.634,Staten Island,West Brighton
194,-74.119,40.565,Staten Island,Oakwood
195,-74.119,40.606,Staten Island,Emerson Hill
196,-74.119,40.632,Staten Island,West Brighton
